category_id,buy,cart,fav,pv,pv_to_buy_rate,cart_to_buy_rate
4756105,28258,215146,139373,4479754,0.0063079356589669875,0.13134336682996664
2355072,12423,121867,87241,3153405,0.003939551056714884,0.10193899907275965
4145813,31658,174419,110666,3152237,0.01004302658715065,0.18150545525430142
3607361,12721,109102,71334,2977553,0.004272300106832691,0.11659731260655166
982926,24823,153906,89137,2800011,0.008865322314805192,0.16128675945057372
2520377,9812,86145,67400,2030255,0.004832890449721833,0.11390098090428928
4801426,26495,122145,68319,1865520,0.014202474377117372,0.2169143231405297
1320293,17137,95049,53867,1794066,0.009552045465439956,0.1802964786583762
2465336,13350,84276,54946,1505542,0.008867238509453739,0.15840808771180406
3002561,16472,80589,54399,1422563,0.011579100538956798,0.20439514077603643
